PriceEuro,Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,DummyFC,DummyFWD,DummyPlugType,DummyBodyStyle,DummySegmentB,DummySeats5
55480,Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,1,0,1,0,0,1
30000,Volkswagen ,ID.3 Pure,10,160,270,167,250,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,1,0,1,1,0,1
56440,Polestar ,Polestar 2,4.7,210,400,181,620,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,D,5,1,0,1,0,0,1
68040,BMW ,iX3 ,6.8,180,360,206,560,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,1,0,1,0,0,1
32997,Honda ,e ,9.5,145,170,168,190,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,1,0,1,1,1,0
105000,Lucid ,Air ,2.8,250,610,180,620,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,5,1,0,1,0,0,1
31900,Volkswagen ,e-Golf ,9.6,150,190,168,220,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,1,1,1,1,0,1
29682,Peugeot ,e-208 ,8.1,150,275,164,420,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,1,1,1,1,1,1
46380,Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,1,0,1,0,0,1
55000,Audi ,Q4 e-tron ,6.3,180,400,193,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,1,0,1,0,0,1
69484,Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,1,0,1,0,0,1
29234,Nissan ,Leaf ,7.9,144,220,164,230,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,1,1,0,1,0,1
